,SUL name,HypSizePercent,CTT,Total cost
60,OpenSSL_1.0.1g_client_regular.dot,10.0,Wp,14
60,OpenSSL_1.0.1g_client_regular.dot,20.0,Wp,63
60,OpenSSL_1.0.1g_client_regular.dot,30.0,Wp,147
60,OpenSSL_1.0.1g_client_regular.dot,40.0,Wp,2151
60,OpenSSL_1.0.1g_client_regular.dot,70.0,Wp,2501
60,OpenSSL_1.0.1g_client_regular.dot,80.0,Wp,4816
60,OpenSSL_1.0.1g_client_regular.dot,90.0,Wp,8497
60,OpenSSL_1.0.1g_client_regular.dot,100.0,Wp,26515
124,OpenSSL_1.0.1g_client_regular.dot,10.0,HadsInt,14
124,OpenSSL_1.0.1g_client_regular.dot,20.0,HadsInt,63
124,OpenSSL_1.0.1g_client_regular.dot,30.0,HadsInt,147
124,OpenSSL_1.0.1g_client_regular.dot,40.0,HadsInt,1213
124,OpenSSL_1.0.1g_client_regular.dot,70.0,HadsInt,1583
124,OpenSSL_1.0.1g_client_regular.dot,80.0,HadsInt,1777
124,OpenSSL_1.0.1g_client_regular.dot,90.0,HadsInt,2014
124,OpenSSL_1.0.1g_client_regular.dot,100.0,HadsInt,3488
139,OpenSSL_1.0.1g_client_regular.dot,10.0,W,14
139,OpenSSL_1.0.1g_client_regular.dot,20.0,W,63
139,OpenSSL_1.0.1g_client_regular.dot,30.0,W,147
139,OpenSSL_1.0.1g_client_regular.dot,40.0,W,2175
139,OpenSSL_1.0.1g_client_regular.dot,70.0,W,3526
139,OpenSSL_1.0.1g_client_regular.dot,80.0,W,8913
139,OpenSSL_1.0.1g_client_regular.dot,90.0,W,11127
139,OpenSSL_1.0.1g_client_regular.dot,100.0,W,14632
219,OpenSSL_1.0.1g_client_regular.dot,10.0,Hsi,14
219,OpenSSL_1.0.1g_client_regular.dot,20.0,Hsi,63
219,OpenSSL_1.0.1g_client_regular.dot,30.0,Hsi,147
219,OpenSSL_1.0.1g_client_regular.dot,40.0,Hsi,1213
219,OpenSSL_1.0.1g_client_regular.dot,70.0,Hsi,1583
219,OpenSSL_1.0.1g_client_regular.dot,80.0,Hsi,1777
219,OpenSSL_1.0.1g_client_regular.dot,90.0,Hsi,2014
219,OpenSSL_1.0.1g_client_regular.dot,100.0,Hsi,3330
372,OpenSSL_1.0.1g_client_regular.dot,10.0,H,14
372,OpenSSL_1.0.1g_client_regular.dot,20.0,H,63
372,OpenSSL_1.0.1g_client_regular.dot,30.0,H,155
372,OpenSSL_1.0.1g_client_regular.dot,40.0,H,3907
372,OpenSSL_1.0.1g_client_regular.dot,50.0,H,4120
372,OpenSSL_1.0.1g_client_regular.dot,70.0,H,5890
372,OpenSSL_1.0.1g_client_regular.dot,90.0,H,8355
372,OpenSSL_1.0.1g_client_regular.dot,100.0,H,15380
588,OpenSSL_1.0.1g_client_regular.dot,10.0,SPY,14
588,OpenSSL_1.0.1g_client_regular.dot,20.0,SPY,63
588,OpenSSL_1.0.1g_client_regular.dot,30.0,SPY,151
588,OpenSSL_1.0.1g_client_regular.dot,40.0,SPY,3301
588,OpenSSL_1.0.1g_client_regular.dot,50.0,SPY,3943
588,OpenSSL_1.0.1g_client_regular.dot,70.0,SPY,7865
588,OpenSSL_1.0.1g_client_regular.dot,80.0,SPY,11051
588,OpenSSL_1.0.1g_client_regular.dot,90.0,SPY,17874
588,OpenSSL_1.0.1g_client_regular.dot,100.0,SPY,22690
602,OpenSSL_1.0.1g_client_regular.dot,10.0,SPYH,14
602,OpenSSL_1.0.1g_client_regular.dot,20.0,SPYH,63
602,OpenSSL_1.0.1g_client_regular.dot,30.0,SPYH,154
602,OpenSSL_1.0.1g_client_regular.dot,40.0,SPYH,3588
602,OpenSSL_1.0.1g_client_regular.dot,50.0,SPYH,3705
602,OpenSSL_1.0.1g_client_regular.dot,70.0,SPYH,5302
602,OpenSSL_1.0.1g_client_regular.dot,80.0,SPYH,8940
602,OpenSSL_1.0.1g_client_regular.dot,90.0,SPYH,12649
602,OpenSSL_1.0.1g_client_regular.dot,100.0,SPYH,15426
